Id,Frame,min,max,prox,dist
0,0,-71,71,2,2
1,100,-71,71,2,2
2,200,-71,71,2,2
3,300,-71,71,2,2
4,400,-71,71,2,2
5,500,-71,71,2,2
6,600,-71,71,2,2
7,700,-71,71,2,2
8,800,-71,71,2,2
9,900,-71,71,2,2
10,1000,-71,71,2,2
11,1100,-71,71,2,2
12,1200,-71,71,2,2
13,1300,-71,71,2,2
14,1400,-71,71,2,2
15,1500,-71,71,2,2
16,1600,-71,71,2,2
17,1700,-71,71,2,2
18,1800,-71,71,2,2
19,1900,-71,71,2,2
20,2000,-71,71,2,2
21,2100,-71,71,2,2
22,2200,-71,71,2,2
23,2300,-71,71,2,2
24,2400,-71,71,2,2
25,2500,-71,71,2,2
26,2600,-71,71,2,2
27,2700,-71,71,2,2
28,2800,-71,71,2,2
29,2900,-71,71,2,2
30,3000,-71,71,2,2
31,3100,-71,71,2,2
32,3200,-71,71,2,2
33,3300,-71,71,2,2
34,3400,-67,71,6,2
35,3500,-71,71,2,2
36,3600,-68,71,5,2
37,3700,-66,71,7,2
38,3800,-67,71,6,2
39,3900,-67,71,6,2
40,4000,-60,71,13,2
41,4100,-67,67,6,6
42,4200,-67,67,6,6
43,4300,-67,67,6,6
44,4400,-67,71,6,2
45,4500,-67,71,6,2
46,4600,-66,71,7,2
47,4700,-60,71,13,2
48,4800,-67,71,6,2
49,4900,-60,71,13,2
50,5000,-60,71,13,2
51,5100,-67,71,6,2
52,5200,-67,71,6,2
53,5300,-67,71,6,2
54,5400,-67,71,6,2
55,5500,-67,71,6,2
56,5600,-60,71,13,2
57,5700,-67,71,6,2
58,5800,-67,71,6,2
59,5900,-67,71,6,2
60,6000,-67,71,6,2
61,6100,-67,67,6,6
62,6200,-67,67,6,6
63,6300,-60,67,13,6
64,6400,-66,67,7,6
65,6500,-66,70,7,3
66,6600,-67,67,6,6
67,6700,-67,67,6,6
68,6800,-67,71,6,2
69,6900,-67,67,6,6
70,7000,-67,70,6,3
71,7100,-67,66,6,7
72,7200,-67,66,6,7
73,7300,-60,66,13,7
74,7400,-67,60,6,13
75,7500,-67,60,6,13
76,7600,-67,60,6,13
77,7700,-67,66,6,7
78,7800,-67,60,6,13
79,7900,-67,66,6,7
80,8000,-67,66,6,7
81,8100,-67,66,6,7
82,8200,-60,66,13,7
83,8300,-60,67,13,6
84,8400,-67,67,6,6
85,8500,-67,67,6,6
86,8600,-67,66,6,7
87,8700,-67,60,6,13
88,8800,-67,66,6,7
89,8900,-67,70,6,3
90,9000,-60,70,13,3
91,9100,-67,66,6,7
92,9200,-67,70,6,3
93,9300,-67,60,6,13
94,9400,-60,70,13,3
95,9500,-67,70,6,3
96,9600,-67,66,6,7
97,9700,-60,70,13,3
98,9800,-60,70,13,3
99,9900,-60,70,13,3
100,10000,-60,70,13,3
101,10100,-60,60,13,13
102,10200,-60,60,13,13
103,10300,-60,60,13,13
104,10400,-60,66,13,7
105,10500,-60,70,13,3
